d,clock,callv,putv,totv
2023-12-05,13:30,1491419,1249930,2741349
2023-12-06,12:00,1261878,1069106,2330984
2023-12-06,13:30,1534915,1265886,2800801
2023-12-07,12:00,965782,1431050,2396832
2023-12-07,13:30,1150808,1770737,2921545
2023-12-08,12:00,1227055,1237783,2464838
2023-12-08,13:30,1453293,1493245,2946538
2023-12-11,12:00,854172,917933,1772105
2023-12-11,13:30,1078219,1207266,2285485
2023-12-12,12:00,926568,852216,1778784
2023-12-12,13:30,1113772,1042181,2155953
2023-12-13,12:00,435388,413738,849126
2023-12-13,13:30,823080,799359,1622439
2023-12-14,12:00,1122366,1060830,2183196
2023-12-14,13:30,1621565,1538281,3159846
2023-12-15,12:00,936306,944320,1880626
2023-12-15,13:30,1258065,1352206,2610271
2023-12-18,12:00,842420,828254,1670674
2023-12-18,13:30,1048324,1023029,2071353
2023-12-19,12:00,884968,869910,1754878
2023-12-19,13:30,1075213,1058432,2133645
2023-12-20,12:00,816875,699081,1515956
2023-12-20,13:30,1110640,982160,2092800
2023-12-21,12:00,1112732,1313993,2426725
2023-12-21,13:30,1398769,1692214,3090983
2023-12-22,12:00,1171924,1144065,2315989
2023-12-22,13:30,1510554,1668344,3178898
2023-12-26,12:00,671174,746118,1417292
2023-12-26,13:30,817094,968186,1785280
2023-12-27,12:00,793525,802527,1596052
2023-12-27,13:30,1223392,1231588,2454980
2023-12-28,12:00,707743,722932,1430675
2023-12-28,13:30,970152,1018552,1988704
2023-12-29,12:00,1062874,1064249,2127123
2023-12-29,13:30,1361447,1314364,2675811
2024-01-02,12:00,973340,915604,1888944
2024-01-02,13:30,1256250,1188562,2444812
2024-01-03,12:00,885316,1000961,1886277
2024-01-03,13:30,1249440,1394338,2643778
2024-01-04,12:00,964677,1184686,2149363
2024-01-04,13:30,1228149,1424067,2652216
2024-01-05,12:00,1115402,1361871,2477273
2024-01-05,13:30,1467392,1785774,3253166
2024-01-08,12:00,956153,1218666,2174819
2024-01-08,13:30,1275681,1660893,2936574
2024-01-09,12:00,1276261,932240,2208501
2024-01-09,13:30,1717517,1340331,3057848
2024-01-10,12:00,1053497,937858,1991355
2024-01-10,13:30,1554505,1288041,2842546
2024-01-11,12:00,1415895,1398443,2814338
2024-01-11,13:30,1932751,1754570,3687321
2024-01-12,12:00,1342829,1530409,2873238
2024-01-12,13:30,1668610,1849721,3518331
2024-01-16,12:00,1345096,1352459,2697555
2024-01-16,13:30,1823111,1686684,3509795
2024-01-17,12:00,1307638,1229597,2537235
2024-01-17,13:30,1751535,1649163,3400698
2024-01-18,12:00,1263974,1392608,2656582
2024-01-18,13:30,1810765,1887315,3698080
2024-01-19,12:00,1541271,1358938,2900209
2024-01-19,13:30,2082586,1942269,4024855
2024-01-22,12:00,1024034,1231325,2255359
2024-01-22,13:30,1404293,1571402,2975695
2024-01-23,12:00,1030228,984101,2014329
2024-01-23,13:30,1307904,1198103,2506007
2024-01-24,12:00,1204252,1019383,2223635
2024-01-24,13:30,1685047,1548126,3233173
2024-01-25,12:00,1166884,1273136,2440020
2024-01-25,13:30,1551491,1664617,3216108
2024-01-26,12:00,1236714,1294041,2530755
2024-01-26,13:30,1570543,1614505,3185048
2024-01-29,12:00,928766,1114316,2043082
2024-01-29,13:30,1178876,1420513,2599389
2024-01-30,12:00,834098,1040841,1874939
2024-01-30,13:30,1135298,1309105,2444403
2024-01-31,12:00,863248,667629,1530877
2024-01-31,13:30,1265757,960679,2226436
2024-02-01,12:00,1228057,1397327,2625384
2024-02-01,13:30,1510257,1755370,3265627
2024-02-02,12:00,1681513,1606479,3287992
2024-02-02,13:30,2051570,2045141,4096711
2024-02-05,12:00,1311221,1180110,2491331
2024-02-05,13:30,1610443,1454047,3064490
2024-02-06,12:00,1405633,1157974,2563607
2024-02-06,13:30,1855318,1493793,3349111
2024-02-07,12:00,1187113,1297836,2484949
2024-02-07,13:30,1489480,1663728,3153208
2024-02-08,12:00,898094,902509,1800603
2024-02-08,13:30,1200744,1151586,2352330
2024-02-09,12:00,1131079,850819,1981898
2024-02-09,13:30,1378421,1100254,2478675
2024-02-12,12:00,895063,937687,1832750
2024-02-12,13:30,1391032,1492821,2883853
2024-02-13,12:00,1320481,1202129,2522610
2024-02-13,13:30,1717940,1683626,3401566
2024-02-14,12:00,1312697,1301402,2614099
2024-02-14,13:30,1768349,1762737,3531086
2024-02-15,12:00,1056300,1183807,2240107
2024-02-15,13:30,1532161,1558478,3090639
2024-02-16,12:00,1221181,1292960,2514141
2024-02-16,13:30,1653014,1697551,3350565
2024-02-20,12:00,1415396,1321483,2736879
2024-02-20,13:30,1795759,1668881,3464640
2024-02-21,12:00,805374,793037,1598411
2024-02-21,13:30,1104539,1140737,2245276
2024-02-22,12:00,1197144,1210396,2407540
2024-02-22,13:30,1592277,1628662,3220939
2024-02-23,12:00,1395832,1482307,2878139
2024-02-23,13:30,1732092,1803039,3535131
2024-02-26,12:00,793771,990271,1784042
2024-02-26,13:30,1207278,1461683,2668961
2024-02-27,12:00,922544,1193262,2115806
2024-02-27,13:30,1280939,1559766,2840705
2024-02-28,12:00,934557,1026441,1960998
2024-02-28,13:30,1253541,1355242,2608783
2024-02-29,12:00,1176272,1129764,2306036
2024-02-29,13:30,1458177,1433342,2891519
2024-03-01,12:00,1166991,1221019,2388010
2024-03-01,13:30,1572879,1651827,3224706
2024-03-04,12:00,799491,831574,1631065
2024-03-04,13:30,1038391,1070029,2108420
2024-03-05,12:00,1404769,1413539,2818308
2024-03-05,13:30,1819687,1806206,3625893
2024-03-06,12:00,1257614,1294189,2551803
2024-03-06,13:30,1766750,1924467,3691217
2024-03-07,12:00,1069969,1255025,2324994
2024-03-07,13:30,1446987,1679999,3126986
2024-03-08,12:00,1933373,1792578,3725951
2024-03-08,13:30,2552910,2239186,4792096
2024-03-11,12:00,1154051,1407030,2561081
2024-03-11,13:30,1517248,1793032,3310280
2024-03-12,12:00,1369266,1757077,3126343
2024-03-12,13:30,1746236,2134507,3880743
2024-03-13,12:00,1027281,1085007,2112288
2024-03-13,13:30,1445508,1423446,2868954
2024-03-14,12:00,1240279,1370579,2610858
2024-03-14,13:30,1661857,1769184,3431041
2024-03-15,12:00,1374048,1318462,2692510
2024-03-15,13:30,1815903,1643539,3459442
2024-03-18,12:00,856951,1156514,2013465
2024-03-18,13:30,1113971,1478123,2592094
2024-03-19,12:00,1051911,1459020,2510931
2024-03-19,13:30,1324028,1854819,3178847
2024-03-20,12:00,453809,431848,885657
2024-03-20,13:30,812256,863683,1675939
2024-03-21,12:00,920047,1042821,1962868
2024-03-21,13:30,1183400,1475948,2659348
2024-03-22,12:00,807671,1057512,1865183
2024-03-22,13:30,1155172,1354786,2509958
